Account Name,Security,ISIN Code,Security Type Detail,Holding Quantity,Market Value,rate
SP Global Opportunities Fund,SPDR Gold Shares - GLD,US78463V1070,Mutual Funds - International Fund,1.6307,701.67,430.2876065
SP Global Opportunities Fund,Alphabet Inc. Class A,US02079K3059,Shares - International Stock,4.233,"1,217.24",287.5596504
SP Global Opportunities Fund,Amazon.com Inc,US0231351067,Shares - International Stock,4.7868,996.95,208.270661
SP Global Opportunities Fund,Broadcom Inc.,US11135F1012,Shares - International Stock,1.553,480.67,309.5106246
SP Global Opportunities Fund,Citigroup Inc.,US1729674242,Shares - International Stock,7.307,828.69,113.4104284
SP Global Opportunities Fund,Meta Platforms Inc. Class A,US30303M1027,Shares - International Stock,1.5874,908.2,572.1305279
SP Global Opportunities Fund,GENERAL ELECTRIC CO,US369604301,Shares - International Stock,3.2081,910.36,283.7692092
SP Global Opportunities Fund,Goldman Sachs Group Inc.,US38141G1040,Shares - International Stock,0.9353,791.25,845.9852454
SP Global Opportunities Fund,Intuitive Surgical Inc.,US46120E6023,Shares - International Stock,1.0301,474.87,460.9940782
SP Global Opportunities Fund,EEM,US4642872349,Shares - International Stock,35.4045,"2,010.62",56.78995608
SP Global Opportunities Fund,Europe Financials ETF - EUFN,US4642891802,Shares - International Stock,29.3944,"1,024.39",34.84983534
SP Global Opportunities Fund,iShares Silver Trust,US46428Q1094,Shares - International Stock,6.9494,473.53,68.13969551
SP Global Opportunities Fund,iShares MSCI Japan ETF - EWJ,US46434G8226,Shares - International Stock,11.9853,"1,012.04",84.4401058
SP Global Opportunities Fund,Jpmorgan Chase & Co.,US46625H1005,Shares - International Stock,4.4169,"1,299.28",294.1610632
SP Global Opportunities Fund,Eli Lilly & Co.,US5324571083,Shares - International Stock,1.3419,"1,234.24",919.7704747
SP Global Opportunities Fund,Lockheed Martin Corp.,US5398301094,Shares - International Stock,1.1276,681.51,604.3898546
SP Global Opportunities Fund,Microsoft Corp,US5949181045,Shares - International Stock,3.0894,"1,143.60",370.1689648
SP Global Opportunities Fund,Micron Technology Inc.,US5951121038,Shares - International Stock,3.012,"1,017.57",337.8386454
SP Global Opportunities Fund,Netflix Inc,US64110L1061,Shares - International Stock,7.6884,739.24,96.15004422
SP Global Opportunities Fund,Northrop Grumman Corp.,US6668071029,Shares - International Stock,1.0037,684.76,682.2357278
SP Global Opportunities Fund,Nvidia Corp,US67066G1040,Shares - International Stock,5.6753,989.77,174.3995912
SP Global Opportunities Fund,Oracle Corp,US68389X1054,Shares - International Stock,5.0733,746.33,147.1093765
SP Global Opportunities Fund,Palo Alto Networks Inc.,US6974351057,Shares - International Stock,4.5082,722.75,160.3189743
SP Global Opportunities Fund,Rtx Corporation,US75513E1010,Shares - International Stock,3.6095,696.27,192.8992935
SP Global Opportunities Fund,Vanguard FTSE Europe ETF - VGK,US9220428745,Shares - International Stock,15.1663,"1,250.16",82.43012468
SP Global Opportunities Fund,Walmart Inc.,US9311421039,Shares - International Stock,8.1294,"1,010.32",124.2797746
SP Global Opportunities Fund,WisdomTree India Earnings ETF - EPI,US97717W4226,Shares - International Stock,17.6596,720.51,40.79990487
