Symbol Code,Symbol Name,Upper(SymbolName),Security type,Security type Detail,ISIN,Classify,Face Value,Paid up capital,Lot size,Refrence Symbol 5,Sector,Sector Name,Reference Symbol,Reference Symbol 1,NSE Symbol,BSE Symbol,Custodian / FA Symbol,Reference Symbol 7,Dimension Code 1,Dimension Name 1,Dimension Code 2,Dimension Name 2,Dimension Code 3,Dimension Name 3,Dimension Code 4,Dimension Name 4,Dimension Code 5,Dimension Name 5,Dimension Code 6,Dimension Name 6,Dimension Code 7,Dimension Name 7,Dimension Code 8,Dimension Name 8,Dimension Code 9,Dimension Name 9,Dimension Code 10,Dimension Name 10,Reference Symbol 6,Reference Symbol 8,Reference Symbol 9,Reference Symbol 10,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Free float shares,Filler,NSE Series,Issuer,Issuername,currencyCode,countryCode
GLD,SPDR Gold Shares - GLD,SPDR GOLD SHARES - GLD,s,s_LISTED,US78463V1070,EQ,,,,,S_BLANK,,,,GLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,USD,US
GOOGL ,Alphabet Inc. Class A,ALPHABET INC. CLASS A,s,s_LISTED,US02079K3059,EQ,,,,,S_BLANK,,,,GOOGL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,USD,US
AMZN,Amazon.com Inc,AMAZON.COM INC,s,s_LISTED,US0231351067,EQ,,,,,S_BLANK,,,,AMZN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,USD,US
AVGO,Broadcom Inc.,BROADCOM INC.,s,s_LISTED,US11135F1012,EQ,,,,,S_BLANK,,,,AVGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,USD,US
C,Citigroup Inc.,CITIGROUP INC.,s,s_LISTED,US1729674242,EQ,,,,,S_BLANK,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,USD,US
META,Meta Platforms Inc. Class A,META PLATFORMS INC. CLASS A,s,s_LISTED,US30303M1027,EQ,,,,,S_BLANK,,,,META,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,USD,US
GE,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,s,s_LISTED,US369604301,EQ,,,,,S_BLANK,,,,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,USD,US
GS,Goldman Sachs Group Inc.,GOLDMAN SACHS GROUP INC.,s,s_LISTED,US38141G1040,EQ,,,,,S_BLANK,,,,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,USD,US
ISRG,Intuitive Surgical Inc.,INTUITIVE SURGICAL INC.,s,s_LISTED,US46120E6023,EQ,,,,,S_BLANK,,,,ISRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,USD,US
EEM,EEM,EEM,s,s_LISTED,US4642872349,EQ,,,,,S_BLANK,,,,EEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,USD,US
