SYMBOLCODE,VALIDFROM,CLOSEINDEX,,
US92891H6062,01-04-26,8.28,,
KYG5006S1049,01-04-26,1.85,,
US30303M1027,01-04-26,579.23,,
US3896371099,01-04-26,53.05,,
US57636Q1040,01-04-26,491.65,,
US69608A1088,01-04-26,146.49,,
US91324P1021,01-04-26,273.98,,
FUT368,01-04-26,6617.75,,ES - 18/06/2026
FUT369,01-04-26,24194.75,,NQM5 - 18/06/2026
OPT1298,01-04-26,0.22,,Palantir Technologies Inc.-A - Put - 02/04/2026 - 140
OPT1326,01-04-26,78,,ES - Call - 06/04/2026 - 6590
OPT1327,01-04-26,80.25,,NQM5 - Put - 06/04/2026 - 23600
OPT1328,01-04-26,674.75,,NQM5 - Call - 06/04/2026 - 23600
