Symbol Code,Symbol Name,Upper(SymbolName),Security type,Security type Detail,ISIN,Classify,Face Value,Paid up capital,Lot size,Refrence Symbol 5,Sector,Sector Name,Reference Symbol,Reference Symbol 1,NSE Symbol,BSE Symbol,Custodian / FA Symbol,Reference Symbol 7,Dimension Code 1,Dimension Name 1,Dimension Code 2,Dimension Name 2,Dimension Code 3,Dimension Name 3,Dimension Code 4,Dimension Name 4,Dimension Code 5,Dimension Name 5,Dimension Code 6,Dimension Name 6,Dimension Code 7,Dimension Name 7,Dimension Code 8,Dimension Name 8,Dimension Code 9,Dimension Name 9,Dimension Code 10,Dimension Name 10,Reference Symbol 6,Reference Symbol 8,Reference Symbol 9,Reference Symbol 10,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Free float shares,Filler,NSE Series,Issuer,Issuername,currencyCode,countryCode
BSE,BSE Ltd.,BSE LTD.,s,s_LISTED,INE118H01025,EQ,,,,,S_BLANK,,,,BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,INR,IN
BHARATFORG,Bharat Forge Ltd.,BHARAT FORGE LTD.,s,s_LISTED,INE465A01025,EQ,,,,,S_BLANK,,,,BHARATFORG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,INR,IN
CCL,CCL Products (I) Ltd.,CCL PRODUCTS (I) LTD.,s,s_LISTED,INE421D01022,EQ,,,,,S_BLANK,,,,CCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,INR,IN
CUB,City Union Bank Ltd.,CITY UNION BANK LTD.,s,s_LISTED,INE491A01021,EQ,,,,,S_BLANK,,,,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,INR,IN
CUMMINSIND,Cummins India Ltd.,CUMMINS INDIA LTD.,s,s_LISTED,INE298A01020,EQ,,,,,S_BLANK,,,,CUMMINSIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,INR,IN
GESHIP,Great Eastern Shipping Co. Ltd.,GREAT EASTERN SHIPPING CO. LTD.,s,s_LISTED,INE017A01032,EQ,,,,,S_BLANK,,,,GESHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,INR,IN
POWERINDIA,Hitachi Energy India Ltd.,HITACHI ENERGY INDIA LTD.,s,s_LISTED,INE07Y701011,EQ,,,,,S_BLANK,,,,POWERINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,INR,IN
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,J.B. CHEMICALS & PHARMACEUTICALS LTD.,s,s_LISTED,INE572A01036,EQ,,,,,S_BLANK,,,,JBCHEPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,INR,IN
KARURVYSYA,Karur Vysya Bank Ltd.,KARUR VYSYA BANK LTD.,s,s_LISTED,INE036D01028,EQ,,,,,S_BLANK,,,,KARURVYSYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,INR,IN
LAURUSLABS,Laurus Labs Ltd.,LAURUS LABS LTD.,s,s_LISTED,INE947Q01028,EQ,,,,,S_BLANK,,,,LAURUSLABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EQ,,,INR,IN
