INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,28-Apr-2026,0,,50760,51993.4,50172,51818.4,51818.4,53488,817474.7229,2472210,79080,02-APR-2026,
FUTIDX,BANKNIFTY,26-May-2026,0,,51525.6,52252,50470.2,52048,52048,5628,86322.341,294420,-11850,02-APR-2026,
FUTIDX,BANKNIFTY,30-Jun-2026,0,,52000,52533.2,50721,52352.2,52352.2,1595,24627.8704,31740,18600,02-APR-2026,
FUTIDX,FINNIFTY,28-Apr-2026,0,,23710,24202.9,23466.6,24135.1,24135.1,272,3878.9611,22500,1020,02-APR-2026,
FUTIDX,FINNIFTY,26-May-2026,0,,23748,24172.4,23748,24172.4,24172.4,3,43.0495,360,60,02-APR-2026,
FUTIDX,FINNIFTY,30-Jun-2026,0,,0,0,0,23950.8,24366.1,0,0,0,0,02-APR-2026,
FUTIDX,MIDCPNIFTY,28-Apr-2026,0,,12330,12450,12064.55,12416.25,12416.25,6610,97201.4984,2739360,104760,02-APR-2026,
FUTIDX,MIDCPNIFTY,26-May-2026,0,,12300.45,12480,12131,12436.85,12436.85,560,8242.8715,81240,11880,02-APR-2026,
FUTIDX,MIDCPNIFTY,30-Jun-2026,0,,12339,12569.75,12180,12504.7,12504.7,32,473.7344,2040,480,02-APR-2026,
FUTIDX,NIFTY,28-Apr-2026,0,,22451,22824,22276.7,22766.6,22766.6,134955,1976963.4036,21429395,611975,02-APR-2026,
FUTIDX,NIFTY,26-May-2026,0,,22787.6,22954.9,22412.4,22904.2,22904.2,13511,198592.6197,2047760,20345,02-APR-2026,
FUTIDX,NIFTY,30-Jun-2026,0,,22759.7,23106.9,22546,23051.2,23051.2,5951,87919.0735,375310,196170,02-APR-2026,
FUTIDX,NIFTYNXT50,28-Apr-2026,0,,60519.2,62230,60145.4,62009.2,62009.2,471,7207.6562,18600,1825,02-APR-2026,
FUTIDX,NIFTYNXT50,26-May-2026,0,,60882,62439.4,60531.6,62317.2,62317.2,37,566.2691,1050,100,02-APR-2026,
FUTIDX,NIFTYNXT50,30-Jun-2026,0,,0,0,0,61450.6,62794.2,0,0,0,0,02-APR-2026,
FUTSTK,360ONE,28-Apr-2026,0,,938,943.55,910.15,938.65,938.65,1375,6390.957,2522000,-62500,02-APR-2026,
FUTSTK,360ONE,26-May-2026,0,,926.05,942.85,912.2,934.25,941.55,32,148.6675,17500,3000,02-APR-2026,
FUTSTK,360ONE,30-Jun-2026,0,,0,0,0,966.9,946.5,0,0,0,0,02-APR-2026,
FUTSTK,ABB,28-Apr-2026,0,,6012,6187,5923,6171.5,6171.5,1941,14691.3475,1978000,6500,02-APR-2026,
FUTSTK,ABB,26-May-2026,0,,5929,6159.5,5900,6147.5,6147.5,97,730.7725,36250,2375,02-APR-2026,
FUTSTK,ABB,30-Jun-2026,0,,5946.5,6063.5,5927.5,6063.5,6225,10,74.9706,1125,875,02-APR-2026,
FUTSTK,ABCAPITAL,28-Apr-2026,0,,299.5,300.95,288.55,299.85,299.85,3043,27746.7856,44078900,-542500,02-APR-2026,
FUTSTK,ABCAPITAL,26-May-2026,0,,293.45,302.55,290.65,301.45,301.45,135,1239.7055,365800,15500,02-APR-2026,
FUTSTK,ABCAPITAL,30-Jun-2026,0,,0,0,0,297.6,302.3,0,0,0,0,02-APR-2026,
FUTSTK,ADANIENSOL,28-Apr-2026,0,,942.45,949.4,904.55,945.8,945.8,3331,20770.1459,15506100,-2025,02-APR-2026,
FUTSTK,ADANIENSOL,26-May-2026,0,,934.2,952.2,907.55,950,950,359,2227.5422,3191400,-160650,02-APR-2026,
FUTSTK,ADANIENSOL,30-Jun-2026,0,,925.2,955.3,925.2,955.3,955.3,6,37.9029,4050,3375,02-APR-2026,
FUTSTK,ADANIENT,28-Apr-2026,0,,1805,1851.2,1776.7,1842.3,1842.3,9320,52075.5769,15665991,-117111,02-APR-2026,
FUTSTK,ADANIENT,26-May-2026,0,,1825.4,1861,1790,1854.1,1854.1,634,3555.9562,565779,-18849,02-APR-2026,
FUTSTK,ADANIENT,30-Jun-2026,0,,1818,1864.7,1799,1859.2,1859.2,25,140.7863,7725,4635,02-APR-2026,
FUTSTK,ADANIGREEN,28-Apr-2026,0,,840,866.05,815.75,859.6,859.6,6286,31658.2623,20984400,-240600,02-APR-2026,
FUTSTK,ADANIGREEN,26-May-2026,0,,841.85,869.75,822.95,863.8,863.8,243,1229.0901,378600,3000,02-APR-2026,
FUTSTK,ADANIGREEN,30-Jun-2026,0,,841.5,870.05,832,868.95,868.95,19,96.132,7800,7200,02-APR-2026,
FUTSTK,ADANIPORTS,28-Apr-2026,0,,1360.2,1386.5,1335.8,1380.6,1380.6,7881,50909.0888,18151175,-335825,02-APR-2026,
FUTSTK,ADANIPORTS,26-May-2026,0,,1372,1393.5,1345.4,1389.4,1389.4,1654,10772.031,1351850,-282150,02-APR-2026,
FUTSTK,ADANIPORTS,30-Jun-2026,0,,1365,1394.6,1350.7,1393.7,1393.7,36,233.9176,20425,950,02-APR-2026,
FUTSTK,ADANIPOWER,28-Apr-2026,0,,154.9,161.26,151.3,160.84,160.84,5450,30586.3584,22911700,11395500,02-APR-2026,
FUTSTK,ADANIPOWER,26-May-2026,0,,154.31,161.95,152.33,161.61,161.61,130,734.8638,280450,216550,02-APR-2026,
FUTSTK,ADANIPOWER,30-Jun-2026,0,,156.25,162.5,153.43,162.4,162.4,34,191.9368,106500,92300,02-APR-2026,
FUTSTK,ALKEM,28-Apr-2026,0,,5205.5,5281.5,5084.5,5263,5263,1040,6737.1994,1148500,750,02-APR-2026,
FUTSTK,ALKEM,26-May-2026,0,,5187,5304,5130.5,5293.5,5293.5,22,143.6856,3125,875,02-APR-2026,
FUTSTK,ALKEM,30-Jun-2026,0,,0,0,0,5396,5329,0,0,0,0,02-APR-2026,
FUTSTK,AMBER,28-Apr-2026,0,,6460,6460,6087.5,6196.5,6196.5,4165,25698.529,1078600,99600,02-APR-2026,
FUTSTK,AMBER,26-May-2026,0,,6240.5,6253,6022,6116.5,6116.5,222,1352.526,28300,5200,02-APR-2026,
FUTSTK,AMBER,30-Jun-2026,0,,6096.5,6134,6096.5,6115,6115,2,12.2305,300,200,02-APR-2026,
FUTSTK,AMBUJACEM,28-Apr-2026,0,,413.6,421.95,407.6,419.85,419.85,4364,19004.1679,53501700,-563850,02-APR-2026,
FUTSTK,AMBUJACEM,26-May-2026,0,,414.55,424.55,409.9,421.9,421.9,82,359.3436,7192500,12600,02-APR-2026,
FUTSTK,AMBUJACEM,30-Jun-2026,0,,415.75,422.3,413.75,419.15,424.1,15,65.6397,18900,12600,02-APR-2026,
FUTSTK,ANGELONE,28-Apr-2026,0,,235,241.09,227.21,239.87,239.87,3453,20313.5023,21985000,-160000,02-APR-2026,
FUTSTK,ANGELONE,26-May-2026,0,,234.48,241.19,227.99,239.69,239.69,237,1399.4103,1052500,180000,02-APR-2026,
FUTSTK,ANGELONE,30-Jun-2026,0,,231.81,239.99,230,236.65,244.1,18,106.229,20000,7500,02-APR-2026,
FUTSTK,APLAPOLLO,28-Apr-2026,0,,1927,1927.5,1839,1909.3,1909.3,1902,12487.8992,4896150,105350,02-APR-2026,
FUTSTK,APLAPOLLO,26-May-2026,0,,1886.8,1926.8,1853.6,1918.7,1918.7,45,297.9795,42350,4550,02-APR-2026,
FUTSTK,APLAPOLLO,30-Jun-2026,0,,1872,1872,1872,1872,1924.8,1,6.552,1050,350,02-APR-2026,
FUTSTK,APOLLOHOSP,28-Apr-2026,0,,7265.5,7384.5,7182,7344,7344,2515,22924.93,2468625,23750,02-APR-2026,
FUTSTK,APOLLOHOSP,26-May-2026,0,,7300,7410,7228,7389,7389,132,1206.59,40000,6625,02-APR-2026,
FUTSTK,APOLLOHOSP,30-Jun-2026,0,,7290,7290,7290,7290,7416.5,1,9.1125,875,125,02-APR-2026,
FUTSTK,ASHOKLEY,28-Apr-2026,0,,146.9,149.15,143.6,148.61,148.61,9120,66764.447,158845000,5475000,02-APR-2026,
FUTSTK,ASHOKLEY,26-May-2026,0,,146.48,148.94,143.55,148.21,148.21,1535,11241.001,5570000,-1920000,02-APR-2026,
FUTSTK,ASHOKLEY,30-Jun-2026,0,,146.41,148,143.39,147.99,147.99,88,640.05,320000,150000,02-APR-2026,
FUTSTK,ASIANPAINT,28-Apr-2026,0,,2190,2190,2152.9,2180.8,2180.8,6280,34113.256,13132250,26250,02-APR-2026,
FUTSTK,ASIANPAINT,26-May-2026,0,,2197,2198.8,2165.9,2193.9,2193.9,575,3139.7393,946000,90250,02-APR-2026,
FUTSTK,ASIANPAINT,30-Jun-2026,0,,2159.3,2189.3,2159.3,2184.8,2184.8,82,446.1205,23250,11250,02-APR-2026,
FUTSTK,ASTRAL,28-Apr-2026,0,,1490,1530.6,1431.2,1511.5,1511.5,5879,37028.3209,8863375,-48450,02-APR-2026,
FUTSTK,ASTRAL,26-May-2026,0,,1511.6,1511.6,1405,1481.3,1481.3,170,1050.249,130475,13600,02-APR-2026,
