Account Name,Security,ISIN Code,Security Type Detail,Holding Quantity,Market Value,rate,Buy rate
India Alpha 500,Aditya Birla Sun Life AMC Ltd.,INE404A01024,Shares - Listed,231,202887.3,878.3,945.73
India Alpha 500,Bharat Forge Ltd.,INE465A01025,Shares - Listed,110,184206,1674.6,1835.37
India Alpha 500,BSE Ltd.,INE118H01025,Shares - Listed,92,246882,2683.5,2811.93
India Alpha 500,CCL Products I Ltd.,INE421D01022,Shares - Listed,195,203034,1041.2,1076.77
India Alpha 500,City Union Bank Ltd.,INE491A01021,Shares - Listed,880,211068,239.85,246.89
India Alpha 500,Force Motors Ltd,INE451A01017,Shares - Listed,9,174645,19405,24520.68
India Alpha 500,Great Eastern Shipping Co. Ltd.,INE017A01032,Shares - Listed,103,145714.1,1414.7,1395.23
India Alpha 500,GE Vernova T&D India Ltd,INE200A01026,Shares - Listed,58,211143.2,3640.4,3739.96
India Alpha 500,J.B. Chemicals & Pharmaceuticals Ltd.,INE572A01036,Shares - Listed,69,142443.6,2064.4,2081.62
India Alpha 500,Karur Vysya Bank Ltd.,INE036D01028,Shares - Listed,795,230073,289.4,274.22
India Alpha 500,Laurus Labs Ltd.,INE947Q01028,Shares - Listed,215,213430.5,992.7,1020.1
India Alpha 500,Multi Commodity Exchange of India Ltd.,INE745G01043,Shares - Listed,135,322569,2389.4,2003.76
India Alpha 500,Navin Fluorine International Ltd.,INE048G01026,Shares - Listed,35,215687.5,6162.5,5906.72
India Alpha 500,Hitachi Energy India Ltd.,INE07Y701011,Shares - Listed,10,242350,24235,22407.21
India Alpha 500,Syrma SGS Technology Ltd.,INE0DYJ01015,Shares - Listed,266,205644.6,773.1,818.47
India Alpha 500,Union Bank of India,INE692A01016,Shares - Listed,1004,164856.8,164.2,197.64
