INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,28-Apr-26,0,,51750,52398.8,51440,51784.6,51784.6,50520,785960.6406,2393130,-213540,1-Apr-26
FUTIDX,BANKNIFTY,26-May-26,0,,51749.8,52650,51732.8,52048.6,52048.6,10493,163624.4594,306270,-188790,1-Apr-26
FUTIDX,BANKNIFTY,30-Jun-26,0,,51723,52937.4,51723,52375.8,52375.8,876,13784.3797,13140,13140,1-Apr-26
FUTIDX,FINNIFTY,28-Apr-26,0,,24261,24569.9,24111.8,24165.8,24165.8,439,6395.7257,21480,4860,1-Apr-26
FUTIDX,FINNIFTY,26-May-26,0,,0,0,0,24112.9,24181.4,0,0,300,0,1-Apr-26
FUTIDX,FINNIFTY,30-Jun-26,0,,0,0,0,23950.8,24309.3,0,0,0,0,1-Apr-26
FUTIDX,MIDCPNIFTY,28-Apr-26,0,,12350,12675,12350,12480.45,12480.45,7543,113569.5955,2634600,-84000,1-Apr-26
FUTIDX,MIDCPNIFTY,26-May-26,0,,12500,12720.95,12486,12538.25,12538.25,412,6226.7035,69360,-720,1-Apr-26
FUTIDX,MIDCPNIFTY,30-Jun-26,0,,12700,12749.95,12566.75,12567.95,12567.95,19,288.1445,1560,1560,1-Apr-26
FUTIDX,NIFTY,28-Apr-26,0,,22850,23035,22732,22800.1,22800.1,135316,2013939.866,20817420,-130975,1-Apr-26
FUTIDX,NIFTY,26-May-26,0,,22900,23154,22831,22934.8,22934.8,20270,303479.0121,2027415,-247845,1-Apr-26
FUTIDX,NIFTY,30-Jun-26,0,,23280,23313.8,23017.2,23077.3,23077.3,3978,59950.6766,179140,179140,1-Apr-26
FUTIDX,NIFTYNXT50,28-Apr-26,0,,63000,63000,61950.2,62225.2,62225.2,383,5971.4201,16775,-325,1-Apr-26
FUTIDX,NIFTYNXT50,26-May-26,0,,62254.4,63000,62254.4,62511.6,62511.6,42,657.9559,950,200,1-Apr-26
FUTIDX,NIFTYNXT50,30-Jun-26,0,,0,0,0,61450.6,62758.2,0,0,0,0,1-Apr-26
FUTSTK,360ONE,28-Apr-26,0,,980.85,987.25,955.1,957.6,957.6,1391,6752.9413,2584500,13500,1-Apr-26
FUTSTK,360ONE,26-May-26,0,,987.6,987.6,955.8,958,958,6,29.194,14500,1500,1-Apr-26
FUTSTK,360ONE,30-Jun-26,0,,0,0,0,966.9,966,0,0,0,0,1-Apr-26
FUTSTK,ABB,28-Apr-26,0,,6159,6196.5,6035,6093.5,6093.5,2855,21824.2331,1971500,24500,1-Apr-26
FUTSTK,ABB,26-May-26,0,,6097.5,6140,6018.5,6073,6073,69,525.6138,33875,-125,1-Apr-26
FUTSTK,ABB,30-Jun-26,0,,6045,6075,6045,6075,6075,2,15.15,250,250,1-Apr-26
FUTSTK,ABCAPITAL,28-Apr-26,0,,299.9,309.6,299.9,303.75,303.75,2482,23440.0626,44621400,-1001300,1-Apr-26
FUTSTK,ABCAPITAL,26-May-26,0,,304.2,310.9,303,305,305,73,693.4483,350300,68200,1-Apr-26
FUTSTK,ABCAPITAL,30-Jun-26,0,,0,0,0,297.6,307.05,0,0,0,0,1-Apr-26
FUTSTK,ADANIENSOL,28-Apr-26,0,,948,984.85,948,961.65,961.65,2071,13547.4343,15508125,-481950,1-Apr-26
FUTSTK,ADANIENSOL,26-May-26,0,,978.4,989.7,956.65,965,965,201,1321.4941,3352050,-107325,1-Apr-26
FUTSTK,ADANIENSOL,30-Jun-26,0,,987.05,987.05,987.05,987.05,969.65,1,6.6626,675,675,1-Apr-26
