TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-01,2026-04-01,FO,BSE,IDO,864039,,SENSEX,,2026-04-02,2026-04-02,79600.00,CE,SENSEX2640279600CE,4.00,5.95,0.90,1.20,0.90,3.75,73134.32,1.20,14340,-6280,176540,14052951832.00,2896,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,849050,,BANKEX,,2026-04-30,2026-04-30,58400.00,CE,BANKEX26APR58400CE,1960.55,1960.55,1780.00,1791.70,1780.00,1194.05,57883.10,1791.70,180,180,450,27109066.50,9,F1,30,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,849317,,BANKEX,,2026-04-30,2026-04-30,63000.00,CE,BANKEX26APR63000CE,291.90,306.50,291.90,300.50,302.80,240.80,57883.10,300.50,450,450,450,28485228.00,9,F1,30,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,849675,,BANKEX,,2026-04-30,2026-04-30,62600.00,CE,BANKEX26APR62600CE,358.95,367.30,358.95,362.90,362.65,282.05,57883.10,362.90,240,240,240,15111094.50,6,F1,30,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,851046,,BANKEX,,2026-04-30,2026-04-30,58300.00,CE,BANKEX26APR58300CE,1919.10,1919.10,1919.10,1919.10,1919.10,1229.80,57883.10,1744.40,60,60,60,3613146.00,1,F1,30,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,851161,,BANKEX,,2026-04-30,2026-04-30,62300.00,CE,BANKEX26APR62300CE,410.25,418.05,410.25,414.15,418.05,316.80,57883.10,414.15,120,120,120,7525698.00,3,F1,30,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,851582,,BANKEX,,2026-04-30,2026-04-30,58500.00,CE,BANKEX26APR58500CE,1811.50,1811.50,1811.50,1811.50,1811.50,1159.10,57883.10,1652.50,60,60,60,3618690.00,1,F1,30,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,852227,,BANKEX,,2026-04-30,2026-04-30,62700.00,CE,BANKEX26APR62700CE,341.10,353.40,341.10,346.80,347.65,271.20,57883.10,346.80,300,300,300,18914037.00,5,F1,30,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,852728,,BANKEX,,2026-04-30,2026-04-30,60600.00,CE,BANKEX26APR60600CE,883.20,911.30,862.00,869.25,862.00,589.35,57883.10,869.25,60,60,300,18445176.00,7,F1,30,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866425,,SENSEX,,2026-04-09,2026-04-09,76400.00,CE,SENSEX2640976400CE,317.00,317.00,241.75,249.55,249.55,266.45,73134.32,328.40,320,320,460,35274630.00,11,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866443,,SENSEX,,2026-04-09,2026-04-09,74400.00,PE,SENSEX2640974400PE,1528.20,1902.00,1364.90,1788.60,1800.00,2524.00,73134.32,1788.60,2560,1520,2200,167269076.00,69,F1,20,,,,,
