Account Name,Security,ISIN Code,Security Type Detail,Holding Quantity,Market Value,rate
India Active Futures and Options,Notional Amount Adj.,,Futures - Borrow/Lend,-21793290,-21793290,1
India Active Futures and Options,BSE SENSEX - Call - 02/04/2026 - 73000,,Options - Index,200,85590,427.95
India Active Futures and Options,BSE SENSEX - Call - 02/04/2026 - 74500,,Options - Index,200,31090,155.45
India Active Futures and Options,BSE SENSEX - Put - 02/04/2026 - 74000,,Options - Index,200,426780,2133.9
India Active Futures and Options,NIFTY50 - Call - 07/04/2026 - 23500,,Options - Index,1755,95033.25,54.15
India Active Futures and Options,NIFTY50 - Call - 07/04/2026 - 22750,,Options - Index,1105,240669,217.8
India Active Futures and Options,NIFTY50 - Call - 07/04/2026 - 23000,,Options - Index,650,91780,141.2
India Active Futures and Options,NIFTY50 - Put - 13/04/2026 - 22800,,Options - Index,1300,987350,759.5
India Active Futures and Options,NIFTY50 - Put - 13/04/2026 - 23500,,Options - Index,650,818025,1258.5
India Active Futures and Options,BSE SENSEX - Put - 09/04/2026 - 73300,,Options - Index,200,409300,2046.5
India Active Futures and Options,BSE SENSEX - 30/04/2026,,Futures - Index,300,21793290,72644.3
