INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,30-Jun-2026,0,,57750,57978,57653,57861.6,57861.6,22673,393135.4722,2078610,-21840,19-Jun-2026
FUTIDX,BANKNIFTY,28-Jul-2026,0,,58120,58298,58015,58202.2,58202.2,3632,63372.302,305670,39600,19-Jun-2026
FUTIDX,BANKNIFTY,25-Aug-2026,0,,58350,58567.4,58276,58459.4,58459.4,1088,19065.9665,91620,14460,19-Jun-2026
FUTIDX,FINNIFTY,30-Jun-2026,0,,26494,26530,26398.5,26469,26469,95,1509.3396,33000,-420,19-Jun-2026
FUTIDX,FINNIFTY,28-Jul-2026,0,,26508.7,26680,26508.7,26594.4,26594.4,2,31.9132,900,0,19-Jun-2026
FUTIDX,FINNIFTY,25-Aug-2026,0,,0,0,0,25500,26754.3,0,0,60,0,19-Jun-2026
FUTIDX,MIDCPNIFTY,30-Jun-2026,0,,14600,14665,14554.9,14646.3,14646.3,2117,37112.5832,2556480,-1680,19-Jun-2026
FUTIDX,MIDCPNIFTY,28-Jul-2026,0,,14640,14711,14602.05,14697.4,14697.4,330,5804.4428,150840,13920,19-Jun-2026
FUTIDX,MIDCPNIFTY,25-Aug-2026,0,,14674.8,14749.95,14650.6,14739.85,14739.85,37,652.4833,15960,240,19-Jun-2026
FUTIDX,NIFTY,30-Jun-2026,0,,24019.9,24085,23948.8,24056.9,24056.9,56868,887613.6506,16483480,-27690,19-Jun-2026
FUTIDX,NIFTY,28-Jul-2026,0,,24128,24171,24050,24142.7,24142.7,15687,245820.7846,2417025,373815,19-Jun-2026
FUTIDX,NIFTY,25-Aug-2026,0,,24250,24285,24170,24261.7,24261.7,3974,62585.1181,745095,74685,19-Jun-2026
FUTIDX,NIFTYNXT50,30-Jun-2026,0,,72315.2,72493.2,71948.2,72325.6,72325.6,137,2473.8925,16450,-250,19-Jun-2026
FUTIDX,NIFTYNXT50,28-Jul-2026,0,,72470.6,72784.2,72210.2,72739.4,72739.4,28,507.7403,3475,175,19-Jun-2026
FUTIDX,NIFTYNXT50,25-Aug-2026,0,,0,0,0,72009,73241.4,0,0,0,0,19-Jun-2026
FUTSTK,360ONE,30-Jun-2026,0,,1140,1150.8,1135.1,1146.9,1146.9,1643,9396.582,6072500,100000,19-Jun-2026
FUTSTK,360ONE,28-Jul-2026,0,,1148.6,1156.3,1143.1,1154.1,1154.1,168,966.014,126000,34000,19-Jun-2026
FUTSTK,360ONE,25-Aug-2026,0,,1155,1155,1151,1151,1159.1,2,11.53,10000,-1000,19-Jun-2026
FUTSTK,ABB,30-Jun-2026,0,,7214.5,7297,7185.5,7248.5,7248.5,2495,22568.1013,2249625,5000,19-Jun-2026
FUTSTK,ABB,28-Jul-2026,0,,7210,7285.5,7168.5,7231,7231,744,6716.045,286875,39250,19-Jun-2026
FUTSTK,ABB,25-Aug-2026,0,,7215,7264,7175,7241,7241,63,568.7488,17750,1750,19-Jun-2026
FUTSTK,ABCAPITAL,30-Jun-2026,0,,370.3,377.6,369,375.9,375.9,4006,46631.502,41341600,-2114200,19-Jun-2026
FUTSTK,ABCAPITAL,28-Jul-2026,0,,372.2,379.5,372.2,377.85,377.85,567,6636.9714,3096900,536300,19-Jun-2026
FUTSTK,ABCAPITAL,25-Aug-2026,0,,376.1,380.9,376.1,379.1,379.1,18,211.5425,248000,31000,19-Jun-2026
FUTSTK,ADANIENSOL,30-Jun-2026,0,,1535,1543.7,1497.9,1512,1512,2734,28055.6048,20343825,208575,19-Jun-2026
FUTSTK,ADANIENSOL,28-Jul-2026,0,,1532,1553.3,1505.1,1520.7,1520.7,316,3258.7826,458325,66825,19-Jun-2026
FUTSTK,ADANIENSOL,25-Aug-2026,0,,1558.6,1558.6,1522,1522,1525.8,10,104.11,56025,4050,19-Jun-2026
FUTSTK,ADANIENT,30-Jun-2026,0,,3034,3058.9,3017.1,3039.8,3039.8,9359,87853.6137,18716748,-20703,19-Jun-2026
FUTSTK,ADANIENT,28-Jul-2026,0,,3053,3077.5,3033.2,3056.4,3056.4,946,8928.5572,1157823,93009,19-Jun-2026
FUTSTK,ADANIENT,25-Aug-2026,0,,3077,3089.7,3060,3070.3,3070.3,56,531.6833,60564,5253,19-Jun-2026
FUTSTK,ADANIGREEN,30-Jun-2026,0,,1519,1532.2,1495,1507,1507,3263,29643.2844,21231000,-250800,19-Jun-2026
FUTSTK,ADANIGREEN,28-Jul-2026,0,,1523.6,1541.1,1503.1,1515.4,1515.4,480,4387.4532,793200,57600,19-Jun-2026
FUTSTK,ADANIGREEN,25-Aug-2026,0,,1533.6,1547.5,1515,1524.9,1524.9,27,248.3892,88200,-600,19-Jun-2026
FUTSTK,ADANIPORTS,30-Jun-2026,0,,1848.7,1854.9,1832.3,1842.1,1842.1,5844,51145.7314,20875775,-25650,19-Jun-2026
FUTSTK,ADANIPORTS,28-Jul-2026,0,,1858.5,1865,1843.3,1851.3,1851.3,1748,15375.8973,2353150,580925,19-Jun-2026
FUTSTK,ADANIPORTS,25-Aug-2026,0,,1865,1870.9,1858,1858.5,1857.7,76,672.3445,239400,17575,19-Jun-2026
FUTSTK,ADANIPOWER,30-Jun-2026,0,,231.77,234.45,228.05,231.91,231.91,9633,79320.9497,118541600,-2215200,19-Jun-2026
FUTSTK,ADANIPOWER,28-Jul-2026,0,,232.88,235.92,229.53,233.4,233.4,1859,15397.4349,16993850,2634100,19-Jun-2026
FUTSTK,ADANIPOWER,25-Aug-2026,0,,234,236.75,231,234.71,234.71,67,558.6969,1352550,31950,19-Jun-2026
FUTSTK,ALKEM,30-Jun-2026,0,,5402.5,5427,5350,5394,5394,1235,8310.8175,1327750,26500,19-Jun-2026
FUTSTK,ALKEM,28-Jul-2026,0,,5415,5442,5387,5409.5,5409.5,67,453.1781,18500,1875,19-Jun-2026
FUTSTK,ALKEM,25-Aug-2026,0,,5390,5390,5390,5390,5439.5,1,6.7375,3000,125,19-Jun-2026
FUTSTK,AMBER,30-Jun-2026,0,,8200,8200,7710.5,7895.5,7895.5,15853,126366.7165,2419400,-26100,19-Jun-2026
FUTSTK,AMBER,28-Jul-2026,0,,8248.5,8249,7744,7930.5,7930.5,3084,24652.149,262700,80500,19-Jun-2026
FUTSTK,AMBER,25-Aug-2026,0,,8113.5,8179,7825,7965,7965,37,297.2475,3600,2100,19-Jun-2026
FUTSTK,AMBUJACEM,30-Jun-2026,0,,429.8,434.6,422.1,425.1,425.1,3473,15600.3304,72980250,298200,19-Jun-2026
FUTSTK,AMBUJACEM,28-Jul-2026,0,,434.9,436.9,424.85,427.65,427.65,782,4029.627,7713600,594000,19-Jun-2026
FUTSTK,AMBUJACEM,25-Aug-2026,0,,437.45,437.45,428,429.7,429.7,61,316.3572,482400,51600,19-Jun-2026
FUTSTK,ANGELONE,30-Jun-2026,0,,357,361,349.95,353.7,353.7,3680,32746.3638,25222500,490000,19-Jun-2026
FUTSTK,ANGELONE,28-Jul-2026,0,,357.7,362.4,351.6,355.3,355.3,542,4840.6088,1962500,182500,19-Jun-2026
FUTSTK,ANGELONE,25-Aug-2026,0,,360,362.8,355,357,357,43,385.7988,307500,47500,19-Jun-2026
FUTSTK,APLAPOLLO,30-Jun-2026,0,,1870,1879.6,1851,1873.6,1873.6,936,6117.8495,5765900,7000,19-Jun-2026
FUTSTK,APLAPOLLO,28-Jul-2026,0,,1859.9,1885.5,1859.9,1879.8,1879.8,49,320.9654,175350,0,19-Jun-2026
FUTSTK,APLAPOLLO,25-Aug-2026,0,,1868.7,1868.7,1868,1868,1868,4,26.1569,24850,-350,19-Jun-2026
FUTSTK,APOLLOHOSP,30-Jun-2026,0,,8431.5,8520,8431.5,8505,8505,1870,19845.1894,2089000,12750,19-Jun-2026
FUTSTK,APOLLOHOSP,28-Jul-2026,0,,8500,8560,8482,8549,8549,313,3335.9763,306125,14125,19-Jun-2026
