INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,30-Jun-2026,0,,54931,55650,54900,55272,55272,26028,431878.0745,2381160,-15870,11-Jun-2026
FUTIDX,BANKNIFTY,28-Jul-2026,0,,55302,55920,55195.6,55574.6,55574.6,2790,46528.781,205290,17010,11-Jun-2026
FUTIDX,BANKNIFTY,25-Aug-2026,0,,55470.2,56118.4,55420,55783.2,55783.2,596,9979.6203,42900,780,11-Jun-2026
FUTIDX,FINNIFTY,30-Jun-2026,0,,25179.9,25407,25153.6,25178.8,25178.8,108,1636.1688,35820,-360,11-Jun-2026
FUTIDX,FINNIFTY,28-Jul-2026,0,,0,0,0,26268.3,25369,0,0,60,0,11-Jun-2026
FUTIDX,FINNIFTY,25-Aug-2026,0,,0,0,0,25500,25499.1,0,0,60,0,11-Jun-2026
FUTIDX,MIDCPNIFTY,30-Jun-2026,0,,13968,14026.05,13888.4,13924.35,13924.35,3231,54091.8102,2390640,56640,11-Jun-2026
FUTIDX,MIDCPNIFTY,28-Jul-2026,0,,14010,14065.65,13934.05,13964.35,13964.35,207,3477.1478,81720,6120,11-Jun-2026
FUTIDX,MIDCPNIFTY,25-Aug-2026,0,,14050,14107,13959.7,13976.3,13976.3,27,454.6445,9240,720,11-Jun-2026
FUTIDX,NIFTY,30-Jun-2026,0,,23138,23363.9,23105,23200,23200,61460,927924.4593,18778175,-356135,11-Jun-2026
FUTIDX,NIFTY,28-Jul-2026,0,,23260.2,23449.8,23205,23295.8,23295.8,5954,90240.2183,1743625,61165,11-Jun-2026
FUTIDX,NIFTY,25-Aug-2026,0,,23375,23545,23312,23397.4,23397.4,2198,33451.1651,553215,11115,11-Jun-2026
FUTIDX,NIFTYNXT50,30-Jun-2026,0,,69100,69360,68628,68780.6,68780.6,193,3332.2022,20525,1400,11-Jun-2026
FUTIDX,NIFTYNXT50,28-Jul-2026,0,,69320.4,69480.2,69000,69005,69005,23,398.3483,2375,325,11-Jun-2026
FUTIDX,NIFTYNXT50,25-Aug-2026,0,,0,0,0,72009,69322.4,0,0,0,0,11-Jun-2026
FUTSTK,360ONE,30-Jun-2026,0,,1049.3,1075,1036.3,1068,1068,1122,5941.6465,5458500,-13000,11-Jun-2026
FUTSTK,360ONE,28-Jul-2026,0,,1052,1074.4,1043,1072.7,1072.7,40,211.7805,56000,7500,11-Jun-2026
FUTSTK,360ONE,25-Aug-2026,0,,0,0,0,1064,1078.8,0,0,5000,0,11-Jun-2026
FUTSTK,ABB,30-Jun-2026,0,,6730.5,6819.5,6662.5,6731.5,6731.5,2210,18605.8219,2210000,-37000,11-Jun-2026
FUTSTK,ABB,28-Jul-2026,0,,6743,6816.5,6666.5,6739.5,6739.5,162,1360.7275,137375,8000,11-Jun-2026
FUTSTK,ABB,25-Aug-2026,0,,6750,6807,6684,6733.5,6733.5,25,210.6131,14500,2000,11-Jun-2026
FUTSTK,ABCAPITAL,30-Jun-2026,0,,343,344.65,336.1,338.25,338.25,1440,15151.8948,51066300,-179800,11-Jun-2026
FUTSTK,ABCAPITAL,28-Jul-2026,0,,344.15,346.5,338.6,340.95,340.95,100,1058.2703,2114200,142600,11-Jun-2026
FUTSTK,ABCAPITAL,25-Aug-2026,0,,345.75,347.35,341.05,342.2,342.2,28,297.6434,127100,21700,11-Jun-2026
FUTSTK,ADANIENSOL,30-Jun-2026,0,,1532.7,1548.2,1465.5,1472.2,1472.2,3387,34312.8555,18818325,83700,11-Jun-2026
FUTSTK,ADANIENSOL,28-Jul-2026,0,,1542.9,1556.2,1475.1,1481,1481,153,1555.1595,230175,43200,11-Jun-2026
FUTSTK,ADANIENSOL,25-Aug-2026,0,,1555.4,1555.4,1496.9,1498.7,1498.7,16,163.8063,37125,2025,11-Jun-2026
FUTSTK,ADANIENT,30-Jun-2026,0,,2920,2975,2900,2918.4,2918.4,4146,37706.3096,18556068,-64272,11-Jun-2026
