INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,30-Jun-2026,0,,55975,56926.4,55800,56872.4,56872.4,38630,652791.7195,2395620,14460,12-Jun-2026
FUTIDX,BANKNIFTY,28-Jul-2026,0,,55950,57201,55950,57159,57159,6442,109531.7641,221280,15990,12-Jun-2026
FUTIDX,BANKNIFTY,25-Aug-2026,0,,56299,57420,56230.6,57378.4,57378.4,1678,28595.2647,52050,9150,12-Jun-2026
FUTIDX,FINNIFTY,30-Jun-2026,0,,25405,26026,25405,25964.6,25964.6,337,5203.3171,35220,-600,12-Jun-2026
FUTIDX,FINNIFTY,28-Jul-2026,0,,26261.2,26261.2,25999.9,26161.8,26161.8,14,220.1613,720,660,12-Jun-2026
FUTIDX,FINNIFTY,25-Aug-2026,0,,0,0,0,25500,26295.5,0,0,60,0,12-Jun-2026
FUTIDX,MIDCPNIFTY,30-Jun-2026,0,,14140,14356.1,14020,14337.4,14337.4,5931,101120.1397,2526240,135600,12-Jun-2026
FUTIDX,MIDCPNIFTY,28-Jul-2026,0,,14102.35,14395,14056.6,14368.45,14368.45,516,8807.8472,89160,7440,12-Jun-2026
FUTIDX,MIDCPNIFTY,25-Aug-2026,0,,14200,14388.55,14100,14377.15,14377.15,32,546.9285,9000,-240,12-Jun-2026
FUTIDX,NIFTY,30-Jun-2026,0,,23450,23719,23335,23686.6,23686.6,110054,1682854.717,18200000,-578175,12-Jun-2026
FUTIDX,NIFTY,28-Jul-2026,0,,23500,23800,23430,23771.9,23771.9,7954,122066.5505,1826110,82485,12-Jun-2026
FUTIDX,NIFTY,25-Aug-2026,0,,23600.1,23900,23531,23873.5,23873.5,2973,45843.1418,584350,31135,12-Jun-2026
FUTIDX,NIFTYNXT50,30-Jun-2026,0,,69500,70420,69290.2,70349.4,70349.4,176,3074.6447,20425,-100,12-Jun-2026
FUTIDX,NIFTYNXT50,28-Jul-2026,0,,69921.2,70668.6,69800,70590.2,70590.2,25,438.3116,2525,150,12-Jun-2026
FUTIDX,NIFTYNXT50,25-Aug-2026,0,,0,0,0,72009,70957.4,0,0,0,0,12-Jun-2026
FUTSTK,360ONE,30-Jun-2026,0,,1077.7,1106.5,1062.3,1102.8,1102.8,2154,11702.062,5635500,177000,12-Jun-2026
FUTSTK,360ONE,28-Jul-2026,0,,1091.9,1111,1070.3,1109.1,1109.1,81,443.013,59000,3000,12-Jun-2026
FUTSTK,360ONE,25-Aug-2026,0,,1096.1,1096.1,1096.1,1096.1,1111.7,1,5.4805,5500,500,12-Jun-2026
FUTSTK,ABB,30-Jun-2026,0,,6810,6865.5,6708.5,6785.5,6785.5,3022,25591.5888,2245875,35875,12-Jun-2026
FUTSTK,ABB,28-Jul-2026,0,,6808,6848.5,6709,6786.5,6786.5,191,1614.5581,150125,12750,12-Jun-2026
FUTSTK,ABB,25-Aug-2026,0,,6839.5,6839.5,6720,6751,6862.5,15,127.3069,14625,125,12-Jun-2026
FUTSTK,ABCAPITAL,30-Jun-2026,0,,348,361.4,344.05,360.05,360.05,3219,35285.33,49755000,-1311300,12-Jun-2026
FUTSTK,ABCAPITAL,28-Jul-2026,0,,347.65,363.05,346.6,361.95,361.95,221,2430.2388,2008800,-105400,12-Jun-2026
FUTSTK,ABCAPITAL,25-Aug-2026,0,,352.4,364,349,363.95,363.95,26,289.0053,148800,21700,12-Jun-2026
FUTSTK,ADANIENSOL,30-Jun-2026,0,,1505,1514.5,1477.2,1496.5,1496.5,3785,38243.7227,18869625,51300,12-Jun-2026
FUTSTK,ADANIENSOL,28-Jul-2026,0,,1506.9,1519.9,1490,1503.6,1503.6,96,975.0274,234225,4050,12-Jun-2026
FUTSTK,ADANIENSOL,25-Aug-2026,0,,1510,1515.9,1510,1512,1512,5,51.0692,37800,675,12-Jun-2026
FUTSTK,ADANIENT,30-Jun-2026,0,,2973.9,2981.5,2895.5,2940,2940,8344,75685.3828,19081059,524991,12-Jun-2026
FUTSTK,ADANIENT,28-Jul-2026,0,,2965,2996.3,2912.9,2953.7,2953.7,819,7467.0551,828120,113094,12-Jun-2026
FUTSTK,ADANIENT,25-Aug-2026,0,,3000.6,3010.6,2930,2971.6,2971.6,66,605.7441,38934,2781,12-Jun-2026
FUTSTK,ADANIGREEN,30-Jun-2026,0,,1490.6,1497.9,1458.7,1493.3,1493.3,4514,40175.8956,20401800,160800,12-Jun-2026
FUTSTK,ADANIGREEN,28-Jul-2026,0,,1489,1505.8,1468.9,1502.5,1502.5,136,1217.3532,572400,6000,12-Jun-2026
FUTSTK,ADANIGREEN,25-Aug-2026,0,,1499,1509.5,1479.8,1508.1,1508.1,16,143.7036,60600,5400,12-Jun-2026
FUTSTK,ADANIPORTS,30-Jun-2026,0,,1809.9,1828.8,1786,1823.2,1823.2,4648,39984.8212,20989300,-19950,12-Jun-2026
FUTSTK,ADANIPORTS,28-Jul-2026,0,,1820,1838.5,1797.1,1832.7,1832.7,269,2323.8753,1457775,9975,12-Jun-2026
FUTSTK,ADANIPORTS,25-Aug-2026,0,,1825,1846,1809,1839.4,1839.4,167,1449.4877,133950,49400,12-Jun-2026
FUTSTK,ADANIPOWER,30-Jun-2026,0,,220,225.25,217.1,224.21,224.21,6040,47512.5216,102506250,2190350,12-Jun-2026
FUTSTK,ADANIPOWER,28-Jul-2026,0,,222.18,226.25,218.41,225.49,225.49,454,3592.3913,10326950,280450,12-Jun-2026
FUTSTK,ADANIPOWER,25-Aug-2026,0,,222.09,227.41,220,226.87,226.87,32,253.8144,919450,-3550,12-Jun-2026
FUTSTK,ALKEM,30-Jun-2026,0,,5326.5,5376.5,5305.5,5323.5,5323.5,805,5368.6981,1364750,4375,12-Jun-2026
FUTSTK,ALKEM,28-Jul-2026,0,,5375.5,5391,5332.5,5351,5351,20,133.9031,13000,500,12-Jun-2026
FUTSTK,ALKEM,25-Aug-2026,0,,5350,5374,5330.5,5330.5,5370,3,20.0681,2250,125,12-Jun-2026
FUTSTK,AMBER,30-Jun-2026,0,,7450,7520,7143.5,7463,7463,8428,61978.071,2716500,110300,12-Jun-2026
FUTSTK,AMBER,28-Jul-2026,0,,7444.5,7526.5,7181.5,7459,7459,434,3202.4705,31300,-6100,12-Jun-2026
FUTSTK,AMBER,25-Aug-2026,0,,0,0,0,7350,7521,0,0,800,0,12-Jun-2026
FUTSTK,AMBUJACEM,30-Jun-2026,0,,412.75,426.85,409.55,425,425,6670,29317.4254,72244200,-97650,12-Jun-2026
FUTSTK,AMBUJACEM,28-Jul-2026,0,,413.95,428.7,412.1,426.9,426.9,462,2329.2672,6171600,21600,12-Jun-2026
FUTSTK,AMBUJACEM,25-Aug-2026,0,,419.8,431.4,415,429.4,429.4,46,234.7404,368400,-3600,12-Jun-2026
FUTSTK,ANGELONE,30-Jun-2026,0,,329.9,342.3,326.6,341.35,341.35,4279,35878.29,22437500,820000,12-Jun-2026
FUTSTK,ANGELONE,28-Jul-2026,0,,333.65,343,328.3,342.5,342.5,227,1907.1063,850000,12500,12-Jun-2026
FUTSTK,ANGELONE,25-Aug-2026,0,,334.9,344.2,329.25,343.45,343.45,38,320.8113,120000,-2500,12-Jun-2026
FUTSTK,APLAPOLLO,30-Jun-2026,0,,1799.1,1829.9,1767.2,1823.7,1823.7,2307,14545.8492,5615750,43750,12-Jun-2026
FUTSTK,APLAPOLLO,28-Jul-2026,0,,1804,1836.5,1779,1834.5,1834.5,47,296.9505,106750,2450,12-Jun-2026
FUTSTK,APLAPOLLO,25-Aug-2026,0,,1800,1840,1798.4,1837.8,1837.8,6,38.1367,23450,0,12-Jun-2026
FUTSTK,APOLLOHOSP,30-Jun-2026,0,,8555,8580,8475.5,8545,8545,1624,17337.5594,2038125,36625,12-Jun-2026
FUTSTK,APOLLOHOSP,28-Jul-2026,0,,8599,8623,8524,8585,8585,64,685.8569,242000,125,12-Jun-2026
FUTSTK,APOLLOHOSP,25-Aug-2026,0,,8639.5,8639.5,8582.5,8610,8610,9,96.9513,8500,0,12-Jun-2026
FUTSTK,ASHOKLEY,30-Jun-2026,0,,144.8,154.17,143.8,152.98,152.98,18835,139919.253,183105000,-15900000,12-Jun-2026
FUTSTK,ASHOKLEY,28-Jul-2026,0,,144.5,154.38,144.5,153.56,153.56,1744,13033.284,13710000,-1115000,12-Jun-2026
FUTSTK,ASHOKLEY,25-Aug-2026,0,,145,154.78,145,153.96,153.96,339,2537.4635,2240000,-735000,12-Jun-2026
FUTSTK,ASIANPAINT,30-Jun-2026,0,,2709.6,2739.7,2693.4,2728.5,2728.5,4430,30130.7205,9995000,-132000,12-Jun-2026
FUTSTK,ASIANPAINT,28-Jul-2026,0,,2715.9,2750,2712.3,2744.4,2744.4,211,1442.6863,299000,2500,12-Jun-2026
FUTSTK,ASIANPAINT,25-Aug-2026,0,,2740.6,2764.9,2726,2754.7,2754.7,43,295.7195,24000,3500,12-Jun-2026
FUTSTK,ASTRAL,30-Jun-2026,0,,1517.9,1533.9,1501,1516.7,1516.7,1990,12829.8694,5782550,-102850,12-Jun-2026
FUTSTK,ASTRAL,28-Jul-2026,0,,1516,1527.4,1496.4,1511.8,1511.8,157,1009.1727,376975,5525,12-Jun-2026
FUTSTK,ASTRAL,25-Aug-2026,0,,1515,1515.3,1499,1508,1508,8,51.3264,25925,1275,12-Jun-2026
FUTSTK,AUBANK,30-Jun-2026,0,,974.4,1021.6,963.75,1018.4,1018.4,5869,58590.05,25860000,-309000,12-Jun-2026
FUTSTK,AUBANK,28-Jul-2026,0,,989,1026.35,968.9,1023.15,1023.15,268,2679.6535,1077000,78000,12-Jun-2026
FUTSTK,AUBANK,25-Aug-2026,0,,983.4,1030,975.9,1028.75,1028.75,44,443.1335,141000,12000,12-Jun-2026
FUTSTK,AUROPHARMA,30-Jun-2026,0,,1473.7,1485.5,1470.7,1479.6,1479.6,1359,11067.2799,17377800,72050,12-Jun-2026
FUTSTK,AUROPHARMA,28-Jul-2026,0,,1482,1493.5,1482,1485.2,1485.2,27,221.1704,110000,10450,12-Jun-2026
FUTSTK,AUROPHARMA,25-Aug-2026,0,,0,0,0,1470,1492.8,0,0,5500,0,12-Jun-2026
FUTSTK,AXISBANK,30-Jun-2026,0,,1338.8,1362.5,1320.4,1359.7,1359.7,13379,112415.5594,58912500,-171875,12-Jun-2026
