SYMBOLCODE,VALIDFROM,CLOSEINDEX
INE967H01025,6/19/2026,804.25
INE721A01047,6/19/2026,1001.9
INE818H01020,6/19/2026,383
INE591G01025,6/19/2026,1463.3
INE049B01025,6/19/2026,2011.1
INE061F01013,6/19/2026,962.95
KYG5006S1049,6/19/2026,1.85
INE404A01024,6/19/2026,1180.6
INF204K014N5,6/19/2026,265.38
INF666M01JV1,6/19/2026,11.26
INF247L01BU1,6/19/2026,23.63
INE839M01018,6/19/2026,1331.4
INE205A01025,6/19/2026,300.8
INE1CDF01017,6/19/2026,457.77
INE694L01019,6/19/2026,41.03
INE704J01044,6/19/2026,25.57
INE1CLE01013,6/19/2026,32.87
OPT1906,6/19/2026,4.65
